# Eye_lean Scene Events Sidecar
# FileVersion: 1.0
# SessionID: 20260503_160712_a22a689f
Frame,T,EventType,ObjectId,Detail
138,135.199600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
139,135.210600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
140,135.221600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
141,135.233000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.8s...
142,135.244300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
143,135.255200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
144,135.266800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
145,135.277400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
146,135.288300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
147,135.299600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
148,135.310900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
149,135.322000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
150,135.333300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.7s...
151,135.344200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
152,135.355400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
153,135.366700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
154,135.377600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
155,135.389200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
156,135.400200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
157,135.410900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
158,135.422200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
159,135.433300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.6s...
160,135.444400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
161,135.455900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
162,135.467100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
163,135.478300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
164,135.489000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
165,135.500000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
166,135.511400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
167,135.522400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
168,135.533800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.5s...
169,135.544800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
170,135.556000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
171,135.567000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
172,135.578300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
173,135.589300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
174,135.600300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
175,135.612000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
176,135.622600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
177,135.633700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.4s...
178,135.645000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
179,135.656400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
180,135.667400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
181,135.678700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
182,135.689500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
183,135.700600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
184,135.712000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
185,135.723100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
186,135.734100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.3s...
187,135.745300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
188,135.756300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
189,135.767300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
190,135.779000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
191,135.789900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
192,135.800700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
193,135.812400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
194,135.823200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
195,135.834400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.2s...
196,135.845400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
197,135.856800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
198,135.867700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
199,135.879000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
200,135.890000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
201,135.901100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
202,135.912300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
203,135.923600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
204,135.934500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.1s...
205,135.946100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
206,135.957200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
207,135.968000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
208,135.979200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
209,135.990700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
210,136.001200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
211,136.012600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
212,136.024800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
213,136.034700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 1.0s...
214,136.045800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
215,136.057400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
216,136.068400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
217,136.079300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
218,136.090600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
219,136.101500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
220,136.112700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
221,136.124100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
222,136.135000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.9s...
223,136.146200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
224,136.157700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
225,136.168300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
226,136.179600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
227,136.191100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
228,136.202000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
229,136.213000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
230,136.224200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
231,136.235300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.8s...
232,136.246400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
233,136.260100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
234,136.269100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
235,136.280000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
236,136.291300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
237,136.302300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
238,136.313200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
239,136.324700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
240,136.336200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.7s...
241,136.346800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
242,136.358200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
243,136.369000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
244,136.380200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
245,136.391400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
246,136.403000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
247,136.413500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
248,136.424600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
249,136.435800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.6s...
250,136.446800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
251,136.458300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
252,136.469400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
253,136.480300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
254,136.491500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
255,136.502700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
256,136.513600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
257,136.524700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
258,136.536400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.5s...
259,136.547300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
260,136.558800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
261,136.569400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
262,136.580400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
263,136.591700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
264,136.603200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
265,136.614200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
266,136.625300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
267,136.636400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.4s...
268,136.647300,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
269,136.658600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
270,136.670100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
271,136.680700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
272,136.692100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
273,136.703400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
274,136.714200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
275,136.725200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
276,136.736700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.3s...
277,136.747800,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
278,136.758900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
279,136.770000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
280,136.780900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
281,136.792200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
282,136.803600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
283,136.814600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
284,136.825700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.2s...
285,136.838900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
286,136.848200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
287,136.859100,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
288,136.870700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
289,136.881400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
290,136.892600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
291,136.903900,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
292,136.915000,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
293,136.925700,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
294,136.937200,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.1s...
295,136.948600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.0s...
296,136.959600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.0s...
297,136.970400,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.0s...
298,136.981500,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.0s...
299,136.992600,ShowInstruction,,Look at the GREEN sphere to start  Starting in 0.0s...
299,136.992600,ShowInstruction,,FREE EXPLORATION  Look around the room freely. Explore everything you see.
569,140.000000,SetInstructionTextOnly,,Starting in  <size=200>3</size>
659,141.002500,SetInstructionTextOnly,,Starting in  <size=200>2</size>
749,142.005000,SetInstructionTextOnly,,Starting in  <size=200>1</size>
839,143.006900,SetInstructionTextOnly,,<size=180>Go!</size>
875,143.408000,HideInstruction,,
875,143.408000,SpawnTestEnvironment,,static=12;dynamic=4
875,143.408000,Spawn,57e572d77c02f81a769a8bf41755e6c0,Static_Near_0
875,143.408000,Spawn,43271d764d3c9669238bed4fa35d7a1e,Static_Near_1
875,143.408000,Spawn,3ee682b199b965fee71ad41dc7530fc9,Static_Near_2
875,143.408000,Spawn,860b194aaed7e37781025707c86e2cf8,Static_Near_3
875,143.408000,Spawn,74c3fc828b734f166bfc067f72dda5a8,Static_Mid_0
875,143.408000,Spawn,c584dd389b79882d3b53e840bc9a0948,Static_Mid_1
875,143.408000,Spawn,91ec5570981e8fa9cad460246069f80a,Static_Mid_2
875,143.408000,Spawn,37a52c8380e717c2b31f1a964a5364f9,Static_Mid_3
875,143.408000,Spawn,9143fe854b5b9b0069bb30bb813a60aa,Static_Far_0
875,143.408000,Spawn,bbdc7c9da6a664fe748ba0965cf680c7,Static_Far_1
875,143.408000,Spawn,bdcb6b35838b839a722f257563686de2,Static_Far_2
875,143.408000,Spawn,ba11f0c395a1ef6e890c465feb18b789,Static_Far_3
875,143.408000,Spawn,8164bd7fdcd69b61b9383e6067035f46,Dynamic_0
875,143.408000,Spawn,5c80824846b792cc17a0f4baa762141f,Dynamic_1
875,143.408000,Spawn,b2b53f815e0634446750fe43bf5225ab,Dynamic_2
875,143.408000,Spawn,c1d8ac59a1486ef8462247de32c11899,Dynamic_3
875,143.408000,ShowProgress,,Explore freely: 30s remaining
917,143.910400,ShowProgress,,Explore freely: 29s remaining
1007,144.912300,ShowProgress,,Explore freely: 28s remaining
1097,145.915000,ShowProgress,,Explore freely: 27s remaining
1187,146.917200,ShowProgress,,Explore freely: 26s remaining
1276,147.908200,ShowProgress,,Explore freely: 25s remaining
1366,148.910600,ShowProgress,,Explore freely: 24s remaining
1456,149.913100,ShowProgress,,Explore freely: 23s remaining
1546,150.915700,ShowProgress,,Explore freely: 22s remaining
1636,151.917900,ShowProgress,,Explore freely: 21s remaining
1725,152.909100,ShowProgress,,Explore freely: 20s remaining
1815,153.911700,ShowProgress,,Explore freely: 19s remaining
1905,154.914100,ShowProgress,,Explore freely: 18s remaining
1995,155.916300,ShowProgress,,Explore freely: 17s remaining
2085,156.919100,ShowProgress,,Explore freely: 16s remaining
2174,157.909900,ShowProgress,,Explore freely: 15s remaining
2264,158.912500,ShowProgress,,Explore freely: 14s remaining
2354,159.914800,ShowProgress,,Explore freely: 13s remaining
2444,160.917600,ShowProgress,,Explore freely: 12s remaining
2533,161.908400,ShowProgress,,Explore freely: 11s remaining
2623,162.911000,ShowProgress,,Explore freely: 10s remaining
2713,163.913300,ShowProgress,,Explore freely: 9s remaining
2803,164.915800,ShowProgress,,Explore freely: 8s remaining
2893,165.918400,ShowProgress,,Explore freely: 7s remaining
2982,166.909800,ShowProgress,,Explore freely: 6s remaining
3072,167.911900,ShowProgress,,Explore freely: 5s remaining
3162,168.914500,ShowProgress,,Explore freely: 4s remaining
3252,169.916600,ShowProgress,,Explore freely: 3s remaining
3341,170.907800,ShowProgress,,Explore freely: 2s remaining
3431,171.910400,ShowProgress,,Explore freely: 1s remaining
3521,172.912900,ShowProgress,,Explore freely: 0s remaining
3566,173.413800,ClearTestObjects,,
3566,173.413800,Despawn,57e572d77c02f81a769a8bf41755e6c0,Static_Near_0
3566,173.413800,Despawn,43271d764d3c9669238bed4fa35d7a1e,Static_Near_1
3566,173.413800,Despawn,3ee682b199b965fee71ad41dc7530fc9,Static_Near_2
3566,173.413800,Despawn,860b194aaed7e37781025707c86e2cf8,Static_Near_3
3566,173.413800,Despawn,74c3fc828b734f166bfc067f72dda5a8,Static_Mid_0
3566,173.413800,Despawn,c584dd389b79882d3b53e840bc9a0948,Static_Mid_1
3566,173.413800,Despawn,91ec5570981e8fa9cad460246069f80a,Static_Mid_2
3566,173.413800,Despawn,37a52c8380e717c2b31f1a964a5364f9,Static_Mid_3
3566,173.413800,Despawn,9143fe854b5b9b0069bb30bb813a60aa,Static_Far_0
3566,173.413800,Despawn,bbdc7c9da6a664fe748ba0965cf680c7,Static_Far_1
3566,173.413800,Despawn,bdcb6b35838b839a722f257563686de2,Static_Far_2
3566,173.413800,Despawn,ba11f0c395a1ef6e890c465feb18b789,Static_Far_3
3566,173.413800,Despawn,8164bd7fdcd69b61b9383e6067035f46,Dynamic_0
3566,173.413800,Despawn,5c80824846b792cc17a0f4baa762141f,Dynamic_1
3566,173.413800,Despawn,b2b53f815e0634446750fe43bf5225ab,Dynamic_2
3566,173.413800,Despawn,c1d8ac59a1486ef8462247de32c11899,Dynamic_3
3746,175.418200,ShowInstruction,,VISUAL SEARCH  Find the RED sphere among the blue ones. Look at it when you find it.
4016,178.425600,SetInstructionTextOnly,,Starting in  <size=200>3</size>
4106,179.428100,SetInstructionTextOnly,,Starting in  <size=200>2</size>
4196,180.430500,SetInstructionTextOnly,,Starting in  <size=200>1</size>
4286,181.432600,SetInstructionTextOnly,,<size=180>Go!</size>
4322,181.833600,HideInstruction,,
4322,181.833600,SpawnVisualSearchScene,,trial=0
4322,181.833600,Spawn,55111c7b0bd73ce9596e1b50b441e6d3,Distractor_0
4322,181.833600,Spawn,72557fa0b492789a99906d981b7af9de,Distractor_1
4322,181.833600,Spawn,31c753c14e4d1dc264728073fe832b83,Distractor_2
4322,181.833600,Spawn,0823469eefb7b9732ad6806ccaa8ddc8,Distractor_3
4322,181.833600,Spawn,ce1eed5802353cdefb6c326777e6726a,Distractor_4
4322,181.833600,Spawn,44fc16b7ec756679aee65df297c91aea,Distractor_5
4322,181.833600,Spawn,09ff24d53203b021f525a537f27442ee,Distractor_6
4322,181.833600,Spawn,dcd6ee6524d6cc9e8583807c60d989f5,Distractor_7
4322,181.833600,Spawn,1c8e3ea953a30673cd84ab914d25a55d,Distractor_8
4322,181.833600,Spawn,b9a0938f1e4f0da7a555c1771cf0ecf6,Distractor_9
4322,181.833600,Spawn,b1eb3d350263132d99eddf2429717ff7,Distractor_10
4322,181.833600,Spawn,2e683ab490a40e641b6ee36ecfa1cbe2,Distractor_11
4322,181.833600,Spawn,2a591bf0045d9605478bfdfc338b3e5a,Distractor_12
4322,181.833600,Spawn,933386218820da15fabed4e3a7296cc0,Distractor_13
4322,181.833600,Spawn,d35689b3289f556324cb7911b1c57958,Distractor_14
4322,181.833600,Spawn,95451a550fa79604f39cb2c94315d3df,SearchTarget
4582,184.740400,Despawn,55111c7b0bd73ce9596e1b50b441e6d3,Distractor_0
4582,184.740400,Despawn,72557fa0b492789a99906d981b7af9de,Distractor_1
4582,184.740400,Despawn,31c753c14e4d1dc264728073fe832b83,Distractor_2
4582,184.740400,Despawn,0823469eefb7b9732ad6806ccaa8ddc8,Distractor_3
4582,184.740400,Despawn,ce1eed5802353cdefb6c326777e6726a,Distractor_4
4582,184.740400,Despawn,44fc16b7ec756679aee65df297c91aea,Distractor_5
4582,184.740400,Despawn,09ff24d53203b021f525a537f27442ee,Distractor_6
4582,184.740400,Despawn,dcd6ee6524d6cc9e8583807c60d989f5,Distractor_7
4582,184.740400,Despawn,1c8e3ea953a30673cd84ab914d25a55d,Distractor_8
4582,184.740400,Despawn,b9a0938f1e4f0da7a555c1771cf0ecf6,Distractor_9
